testing_performance,testing_complexity,training_performance,training_complexity,task_id,selection,split,task_type,seed
0.85507244,25681,0.8801431,3811,146818,lexicase,90%,classification,48
0.8341232,243,0.8613224,243,359962,lexicase,90%,classification,467
0.76,1334,0.8118812,1334,359955,lexicase,90%,classification,94
0.8530806,9,0.8613224,11,359962,lexicase,90%,classification,477
0.76,799,0.80033004,799,359955,lexicase,90%,classification,92
0.8117647,77,0.74452555,77,190146,lexicase,90%,classification,127
0.6621622,136021,0.60738254,16081,359954,lexicase,90%,classification,74
0.89726025,115,0.9068586,113,359958,lexicase,90%,classification,248
0.9109589,738,0.9077053,738,359958,lexicase,90%,classification,262
0.7764706,2,0.7693431,2,190146,lexicase,90%,classification,130
0.9364162,260,0.93857145,260,359960,lexicase,90%,classification,381
0.85882354,981,0.7591241,981,190146,lexicase,90%,classification,137
0.7647059,245,0.7810219,65,190146,lexicase,90%,classification,138
0.83589745,337561,0.7181934,44621,168784,lexicase,90%,classification,409
0.76,3985,0.7986799,3985,359955,lexicase,90%,classification,481
0.76,2591,0.8118812,1711,359955,lexicase,90%,classification,112
0.85882354,1445,0.7693431,1025,190146,lexicase,90%,classification,148
0.7924528,744,0.86315787,744,359956,lexicase,90%,classification,195
0.59731543,216812,0.5815308,21462,2073,lexicase,90%,classification,314
0.9130435,7211,0.88550985,971,146818,lexicase,90%,classification,57
0.4662162,77471,0.5616094,7561,359959,lexicase,90%,classification,277
0.85507244,7981,0.881932,1131,146818,lexicase,90%,classification,44
0.66442955,331,0.56905156,298,2073,lexicase,90%,classification,324
0.7,88761,0.74691355,12961,168757,lexicase,90%,classification,153
0.7,64,0.72962964,65,168757,lexicase,90%,classification,151
0.5472973,3218,0.5473596,3218,359959,lexicase,90%,classification,291
0.5878378,1113,0.5590947,125,359959,lexicase,90%,classification,280
0.8530806,1848,0.8601521,1848,359962,lexicase,90%,classification,468
0.8352941,303,0.73722625,303,190146,lexicase,90%,classification,146
0.68235296,401,0.7810219,401,190146,lexicase,90%,classification,133
0.67785233,72,0.5648919,65,2073,lexicase,90%,classification,316
0.5945946,2067,0.6275168,2071,359954,lexicase,90%,classification,67
0.8530806,14,0.8601521,14,359962,lexicase,90%,classification,456
0.88235295,757,0.7781022,757,190146,lexicase,90%,classification,141
0.9246575,3785,0.915326,2117,359958,lexicase,90%,classification,253
0.8490566,1569,0.8502924,1569,359956,lexicase,90%,classification,206
0.8405797,3656,0.881932,676,146818,lexicase,90%,classification,37
0.89726025,20,0.911939,20,359958,lexicase,90%,classification,255
0.5771812,701,0.57487524,700,2073,lexicase,90%,classification,310
0.9109589,330,0.9136325,330,359958,lexicase,90%,classification,241
0.6216216,4306,0.602349,506,359954,lexicase,90%,classification,63
0.8483412,15,0.8630778,15,359962,lexicase,90%,classification,453
0.56,6,0.7970297,5,359955,lexicase,90%,classification,110
0.6621622,2902,0.6275168,2885,359954,lexicase,90%,classification,78
0.45945945,51471,0.56831515,4761,359959,lexicase,90%,classification,294
0.82051283,542621,0.7099237,74571,168784,lexicase,90%,classification,397
0.6486486,66771,0.65268457,6971,359954,lexicase,90%,classification,88
0.83886254,201,0.8601521,201,359962,lexicase,90%,classification,469
0.884058,19696,0.8801431,2746,146818,lexicase,90%,classification,34
0.7297297,198711,0.6057047,25041,359954,lexicase,90%,classification,83
0.84705883,491,0.7343066,77,190146,lexicase,90%,classification,126
0.5878378,10,0.55071247,10,359959,lexicase,90%,classification,300
0.8018868,748,0.8561404,748,359956,lexicase,90%,classification,210
0.76,10101,0.8052805,501,359955,lexicase,90%,classification,118
0.5945946,50,0.6057047,49,359954,lexicase,90%,classification,66
0.6510067,62,0.5815308,39,2073,lexicase,90%,classification,304
0.8584906,347,0.84093565,37,359956,lexicase,90%,classification,187
1.0,988,0.915,988,359960,lexicase,90%,classification,365
0.9537572,972,0.9285714,972,359960,lexicase,90%,classification,390
0.66,1316,0.75555557,1316,168757,lexicase,90%,classification,159
0.8,25559,0.80363035,2387,359955,lexicase,90%,classification,108
0.8679245,899,0.86315787,898,359956,lexicase,90%,classification,201
0.91780823,127,0.9136325,127,359958,lexicase,90%,classification,247
0.884058,46686,0.88372093,7126,146818,lexicase,90%,classification,45
0.64,966,0.80033004,86,359955,lexicase,90%,classification,120
0.8490566,884,0.8596491,884,359956,lexicase,90%,classification,190
0.8695652,2166,0.8783542,1186,146818,lexicase,90%,classification,53
0.73333335,51,0.8085809,51,359955,lexicase,90%,classification,119
0.9479769,486,0.9307143,486,359960,lexicase,90%,classification,367
0.7,27,0.7308642,27,168757,lexicase,90%,classification,167
0.73,6,0.74444443,6,168757,lexicase,90%,classification,169
0.76811594,11636,0.88550985,616,146818,lexicase,90%,classification,35
0.8530806,18,0.85898185,18,359962,lexicase,90%,classification,478
0.8720379,130821,0.86483324,15091,359962,lexicase,90%,classification,474
0.9109589,203,0.9093988,203,359958,lexicase,90%,classification,270
0.2837838,1336,0.61577183,1336,359954,lexicase,90%,classification,82
0.8102564,348211,0.71183205,46331,168784,lexicase,90%,classification,413
0.8530806,246,0.86190754,116,359962,lexicase,90%,classification,458
0.982659,829,0.93642855,827,359960,lexicase,90%,classification,362
0.68,406,0.8019802,56,359955,lexicase,90%,classification,113
0.8396226,268,0.85847956,268,359956,lexicase,90%,classification,182
0.7733333,480,0.8118812,480,359955,lexicase,90%,classification,116
0.76,892,0.8052805,892,359955,lexicase,90%,classification,115
0.89041096,31,0.91024554,28,359958,lexicase,90%,classification,269
0.73,1459,0.74444443,1459,168757,lexicase,90%,classification,157
0.9768786,1162,0.9507143,1158,359960,lexicase,90%,classification,371
0.5608108,10507,0.5515507,2203,359959,lexicase,90%,classification,288
0.8767123,562,0.9077053,562,359958,lexicase,90%,classification,259
0.89855075,17087,0.881932,2607,146818,lexicase,90%,classification,31
0.76,80,0.79372936,66,359955,lexicase,90%,classification,107
0.91780823,310,0.915326,310,359958,lexicase,90%,classification,258
0.91780823,152,0.91617274,152,359958,lexicase,90%,classification,268
0.8153846,475691,0.7169211,58921,168784,lexicase,90%,classification,405
0.754717,1059,0.85847956,1059,359956,lexicase,90%,classification,186
0.884058,9606,0.8801431,1166,146818,lexicase,90%,classification,46
0.9768786,1049,0.93357146,1045,359960,lexicase,90%,classification,380
0.8352941,443,0.7941606,152,190146,lexicase,90%,classification,134
0.8396226,466,0.8479532,466,359956,lexicase,90%,classification,194
0.8396226,691,0.86900586,690,359956,lexicase,90%,classification,189
0.85641026,426511,0.71183205,60171,168784,lexicase,90%,classification,396
0.84615386,421421,0.72773534,57711,168784,lexicase,90%,classification,415
0.6216216,68711,0.5989933,8481,359954,lexicase,90%,classification,69
0.76,342,0.79372936,342,359955,lexicase,90%,classification,100
0.9537572,711,0.94214284,711,359960,lexicase,90%,classification,379
0.64,35391,0.7432099,2971,168757,lexicase,90%,classification,158
0.8835617,416,0.91786623,416,359958,lexicase,90%,classification,249
0.7114094,183682,0.5615641,18752,2073,lexicase,90%,classification,309
0.5675676,29387,0.56496227,4707,359959,lexicase,90%,classification,285
0.8490566,198,0.8619883,198,359956,lexicase,90%,classification,192
0.92753625,32036,0.88372093,4466,146818,lexicase,90%,classification,39
0.82564104,273431,0.7099237,36471,168784,lexicase,90%,classification,398
0.99421966,761,0.9614286,761,359960,lexicase,90%,classification,368
1.0,531,0.95714283,519,359960,lexicase,90%,classification,387
0.58389264,51,0.5524126,55,2073,lexicase,90%,classification,312
0.7641026,812,0.6870229,812,168784,lexicase,90%,classification,400
0.68456376,250172,0.5873544,25962,2073,lexicase,90%,classification,315
0.77,12,0.7567901,12,168757,lexicase,90%,classification,173
0.71,514,0.74938273,514,168757,lexicase,90%,classification,177
0.6486486,892,0.6308725,895,359954,lexicase,90%,classification,61
0.5405405,93038,0.5481978,12122,359959,lexicase,90%,classification,292
0.72483224,244402,0.58985025,26262,2073,lexicase,90%,classification,327
0.8,544801,0.706743,72881,168784,lexicase,90%,classification,416
0.83886254,297,0.8583967,167,359962,lexicase,90%,classification,470
0.74,26441,0.74444443,2951,168757,lexicase,90%,classification,168
0.99421966,1206,0.93714285,1205,359960,lexicase,90%,classification,374
0.884058,74,0.88372093,74,146818,lexicase,90%,classification,38
0.7,17,0.75061727,19,168757,lexicase,90%,classification,166
0.8773585,158112,0.8736842,22372,359956,lexicase,90%,classification,196
0.8051282,362891,0.697201,57141,168784,lexicase,90%,classification,418
